LinkID,Type,NodeID1,NodeID2,Length_ft,Diameter_in,Roughness,InitialStatus,MinorLoss_K,Power_HJ,Setting,CurveID,Valve  Type,Tag
J_SNT5_400_430,Pipe,J_SNT5_415,J_SNT5_430,15,2.469,0.000167,Open,0,,,,,SNT5 +15 ft on trunk to CNT73
J_SNT5_430_CNT73,Pipe,J_SNT5_430,J_ CNT73,90,1.029,0.000167,Open,0,,,,,SNT5+90 ft on trunk to CNT73
J_SNT5_430_495,Pipe,J_SNT5_430,J_SNT5_495,65,2.469,0.000167,Open,0,,,,,SNT5 +55 ft on trunk to CNT74
J_SNT5_495_CNT74,Pipe,J_SNT5_495,J_ CNT74,55,1.029,0.000167,Open,0,,,,,65 ft lateral ? CNT74
J_SNT5495_530,Pipe,J_SNT5_495,J_SNT5_530,35,2.469,0.000167,Open,0,,,,,SNT5 +35 ft on trunk to CNT75
J_SNT5_530_ CNT75,Pipe,J_SNT5_530,J_ CNT75,100,1.029,0.000167,Open,0,,,,,100 ft lateral ? CNT75
J_SNT5_530_565,Pipe,J_SNT5_530,J_SNT5_565,35,2.469,0.000167,Open,0,,,,,SNT5 +35 ft on trunk to CNT76
J_SNT5_565_CNT76,Pipe,J_SNT5_565,J_CNT76,100,1.029,0.000167,Open,0,,,,,100 ft lateral ? CNT76
J_SNT5_565_620,Pipe,J_SNT5_530,J_SNT5_620,55,2.469,0.000167,Open,0,,,,,SNT5 +55 ft on trunk to CNT77
J_SNT5_620_CNT77,Pipe,J_SNT5_620,J_CNT77,60,1.029,0.000167,Open,0,,,,,60 ft lateral ? CNT77
J_SNT5_620_695,Pipe,J_SNT5_620,J_SNT5_695,75,2.469,0.000167,Open,0,,,,,SNT5 +75 ft on trunk to CNT78
J_SNT5_695_CNT78,Pipe,J_SNT5_695,J_CNT78,60,1.029,0.000167,Open,0,,,,,60 ft lateral ? CNT78
J_SNT5_695_770,Pipe,J_SNT5_695,J_SNT5_770,75,2.469,0.000167,Open,0,,,,,SNT5 +75 ft on trunk to CNT79
J_SNT5_770_CNT79,Pipe,J_SNT5_770,J_CNT79,40,1.029,0.000167,Open,0,,,,,40 ft lateral ? CNT79
J_SNT5_770_800,Pipe,J_SNT5_770,J_SNT5_800,30,2.469,0.000167,Open,0,,,,,SNT5 +30 ft on trunk to CNT80
J_SNT5_800_CNT80,Pipe,J_SNT5_800,J_CNT80,20,1.029,0.000167,Open,0,,,,,20 ft lateral ? CNT80
J_V12_OUT_SNT2_1170_1185,Pipe,J_V12_OUT_1170,J_SNT2_1185,15,2.469,0.000167,Open,0,,,,,SNT2 +15 ft on trunk through Valve 11 to CNT81
J_SNT2_1185_CNT81,Pipe,J_SNT2_1185,J_CNT81,95,1.029,0.000167,Closed,0,,,0,,95 ft lateral ? CNT81
J_SNT2_1185_1285,Pipe,J_SNT2_1185,J_SNT2_1285,100,2.469,0.000167,Open,0,,,,,SNT2 +100 ft on trunk to TEE
J_SNT2_1285_TEE_IN_1285,Pipe,J_SNT2_1285,TEE_IN_1285,1,2.469,0.000167,Open,K_TEE_RUN_DIV,,,,,TEE(dividing): run IN ? tee fitting at SNT2
J_TEE_1285,Pipe,TEE_IN_1285,TEE_OUT_1285,1,2.469,0.000167,Open,K_TEE_RUN_DIV,,,,,TEE(dividing): run IN ? tee fitting at SNT2
J_TEE_OUT_1285_SNT6_80,Pipe,TEE_OUT_1285,J_SNT6_100,80,2.469,0.000167,Open,0,,,,,Run OUT ? J_SNT2_100 ft)
J_SNT6_80_V13_IN_Stub,Pipe,J_SNT6_80_Stub,J_V13_IN_80,1,2.469,0.000167,Open,0,,,,,Stub into V13 (no added length)
V13,Valve,J_V13_IN_80,J_V13_OUT_,1,2.469,0.000167,Closed,0,,,,TCV,Closed valve at SNT6 terminus
J_SNT2_TEE_IN_1285_1365,Pipe,J_TEE_OUT_1285_SNT2_1285,J_SNT2_1365,80,2.469,0.000167,Open,0,,,,,SNT2 south 80 ft to TEE @1465
J_SNT2_1385_TEEE_IN_1385,Pipe,J_SNT2_1365,J_TEE_IN_1445,1,2.469,0.000167,Open,K_TEE_RUN_DIV,,,,,TEE(dividing): run IN ? tee fitting at SNT2
TEE_1365,Pipe,TEE_IN_1445,TEE_OUT_1445,1,2.469,0.000167,Open,K_TEE_RUN_DIV,,,,,TEE(dividing): run IN ? tee fitting at SNT2
J_TEE_OUT_1365_SNT7_190,Pipe,TEE_OUT_1445,J_SNT7_190,190,2.469,0.000167,Open,0,,,,,Run OUT ? J_SNT7_190 ft)
J_SNT7_190_V14_IN_190_Stub,Pipe,J_SNT7_190_Stub,J_V13_IN_190,1,2.469,0.000167,Open,0,,,,,Stub into V13 (no added length)
V14,Valve,J_V13_IN,J_V13_OUT,1,2.469,0.000167,Closed,0,,,,TCV,Closed valve at SNT7 terminus
J_TEE_OUT_1365_SNT2_1365_1490,Pipe,TEE_OUT_1445,J_SNT2_1570,125,2.469,0.000167,Open,0,,,,,Run OUT ? J_SNT2_125 ft)
J_SNT2_V15_IN_1490_Stub,Pipe,J_SNT2_1570_Stub,J_V14_IN,1,2.469,0.000167,Open,0,,,,,Stub into V14 (no added length)
V15,Valve,J_V14_IN,J_V14_OUT,1,2.469,0.000167,Closed,0,,,,TCV,Closed valve on SNT2
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
